Data_Registro,Nome_Jogo,Plataforma,Horas_Totais,Conquistas_Feitas,Conquistas_Total,Porcentagem,Capa_URL,AppID,Status,Ultima_Vez_Jogado
2026-01-18,Counter-Strike 2,Steam,272.7,1,1,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/header.jpg,730,Platinado,2025-04-12
2026-01-18,Grand Theft Auto V Enhanced,Steam,7.7,15,77,19.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/header.jpg,3240220,Backlog,
2026-01-18,Rocket League,Steam,29.6,37,88,42.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/252950/header.jpg,252950,Backlog,
2026-01-18,Red Dead Redemption 2,Steam,41.9,12,51,23.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1174180/header.jpg,1174180,Backlog,
2026-01-18,Cult of the Lamb,Steam,4.1,13,48,27.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1313140/header.jpg,1313140,Backlog,
2026-01-18,Rise of the Tomb Raider,Steam,8.2,21,143,14.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/391220/header.jpg,391220,Backlog,
2026-01-18,WUCHANG: Fallen Feathers,Steam,41.2,40,40,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2277560/header.jpg,2277560,Platinado,
2026-01-18,Apex Legends,Steam,13.6,10,12,83.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/header.jpg,1172470,Backlog,
2026-01-18,Kingdom: Classic,Steam,5.7,5,34,14.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/368230/header.jpg,368230,Abandonado,
2026-01-18,ELDEN RING NIGHTREIGN,Steam,86.0,37,37,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622380/header.jpg,2622380,Platinado,
2026-01-18,FINAL FANTASY XVI,Steam,54.0,69,69,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2515020/header.jpg,2515020,Platinado,
2026-01-18,ELDEN RING,Steam,305.6,42,42,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg,1245620,Platinado,
2026-01-18,Batman™: Arkham Knight,Steam,34.9,54,113,47.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/208650/header.jpg,208650,Backlog,
2026-01-18,God of War Ragnarök,Steam,49.1,48,48,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2322010/header.jpg,2322010,Platinado,
2026-01-18,Assassin's Creed IV Black Flag,Steam,27.8,25,60,41.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/242050/header.jpg,242050,Backlog,
2026-01-18,KurtzPel,Steam,6.9,12,85,14.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/844870/header.jpg,844870,Backlog,
2026-01-18,The Forest,Steam,8.2,14,45,31.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/242760/header.jpg,242760,Backlog,
2026-01-18,Risk of Rain 2,Steam,18.1,48,171,28.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/632360/header.jpg,632360,Backlog,
2026-01-18,Aimlabs,Steam,93.9,32,100,32.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/714010/header.jpg,714010,Backlog,
2026-01-18,Dragon's Dogma 2,Steam,6.3,7,54,13.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2054970/header.jpg,2054970,Backlog,
2026-01-18,God of War,Steam,33.7,37,37,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1593500/header.jpg,1593500,Platinado,
2026-01-18,Grand Theft Auto V Legacy,Steam,199.9,21,77,27.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/271590/header.jpg,271590,Backlog,
2026-01-18,Lies of P,Steam,4.3,9,53,17.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1627720/header.jpg,1627720,Backlog,
2026-01-18,"Please, Don’t Touch Anything",Steam,1.1,3,15,20.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/354240/header.jpg,354240,Backlog,
2026-01-18,Forspoken,Steam,39.0,53,53,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1680880/header.jpg,1680880,Platinado,
2026-01-18,Terraria,Steam,249.1,115,115,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/105600/header.jpg,105600,Platinado,
2026-01-18,Assassin's Creed Unity,Steam,26.5,27,57,47.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/289650/header.jpg,289650,Backlog,
2026-01-18,Unturned,Steam,8.6,17,88,19.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/304930/header.jpg,304930,Backlog,
2026-01-18,Palworld,Steam,100.2,12,57,21.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/header.jpg,1623730,Backlog,
2026-01-18,Seen,Steam,1.7,40,210,19.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1069740/header.jpg,1069740,Backlog,
2026-01-18,FINAL FANTASY VII REMAKE INTERGRADE,Steam,4.5,10,63,15.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1462040/header.jpg,1462040,Backlog,
2026-01-18,Trove,Steam,72.4,6,19,31.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/304050/header.jpg,304050,Backlog,
2026-01-18,SuchArt: Creative Space,Steam,2.7,13,13,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1469280/header.jpg,1469280,Platinado,
2026-01-18,DRAGON BALL Z: KAKAROT,Steam,12.5,17,42,40.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/851850/header.jpg,851850,Backlog,
2026-01-18,The First Berserker: Khazan,Steam,14.1,27,57,47.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2680010/header.jpg,2680010,Backlog,
2026-01-18,Muse Dash,Steam,4.9,12,39,30.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/774171/header.jpg,774171,Backlog,
2026-01-18,The First Descendant,Steam,6.5,10,24,41.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2074920/header.jpg,2074920,Backlog,
2026-01-18,Dispatch,Steam,27.6,34,36,94.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2592160/header.jpg,2592160,Backlog,
2026-01-18,Monster Hunter Wilds,Steam,97.8,36,50,72.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2246340/header.jpg,2246340,Backlog,
2026-01-18,Overwatch® 2,Steam,109.0,24,164,14.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2357570/header.jpg,2357570,Backlog,
2026-01-18,The Last of Us™ Part II Remastered,Steam,94.0,45,45,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2531310/header.jpg,2531310,Platinado,
2026-01-18,PUBG: BATTLEGROUNDS,Steam,15.0,7,37,18.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg,578080,Backlog,
2026-01-18,DARK SOULS™: REMASTERED,Steam,37.5,41,41,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/570940/header.jpg,570940,Platinado,
2026-01-18,The First Tree,Steam,2.3,2,14,14.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/555150/header.jpg,555150,Backlog,
2026-01-18,NieR:Automata™,Steam,35.6,47,47,100.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/524220/header.jpg,524220,Platinado,
2026-01-18,F1 2018,Steam,15.7,13,50,26.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/737800/header.jpg,737800,Backlog,
2026-01-18,Destiny 2,Steam,9.2,3,23,13.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1085660/header.jpg,1085660,Backlog,
2026-01-18,Stardew Valley,Steam,45.8,13,49,26.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg,413150,Backlog,
2026-01-18,Black Myth: Wukong,Steam,56.6,73,81,90.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2358720/header.jpg,2358720,Backlog,
